Date,Close,Index,Month,Returns (%)
1990-12-01,330.2200012207031,S&P 500,December,2.482775733875209
1991-01-01,343.92999267578125,S&P 500,January,4.15177499981747
1991-02-01,367.07000732421875,S&P 500,February,6.728117681278034
1991-03-01,375.2200012207031,S&P 500,March,2.2202832522042026
1991-04-01,375.3399963378906,S&P 500,April,0.03197993624997064
1991-05-01,389.8299865722656,S&P 500,May,3.8604972493607503
1991-06-01,371.1600036621094,S&P 500,June,-4.789262897479862
1991-07-01,387.80999755859375,S&P 500,July,4.485934295776639
1991-08-01,395.42999267578125,S&P 500,August,1.9648784624321625
1991-09-01,387.8599853515625,S&P 500,September,-1.9143735843086374
1991-10-01,392.45001220703125,S&P 500,October,1.1834236654519215
1991-11-01,375.2200012207031,S&P 500,November,-4.390370862630699
1991-12-01,417.0899963378906,S&P 500,December,11.15878550742815
1992-01-01,408.7799987792969,S&P 500,January,-1.9923751783923582
1992-02-01,412.70001220703125,S&P 500,February,0.958954312696414
1992-03-01,403.69000244140625,S&P 500,March,-2.183186212532784
1992-04-01,414.95001220703125,S&P 500,April,2.7892713957560433
1992-05-01,415.3500061035156,S&P 500,May,0.09639568254424802
1992-06-01,408.1400146484375,S&P 500,June,-1.7358833150663777
1992-07-01,424.2099914550781,S&P 500,July,3.9373686063305824
1992-08-01,414.0299987792969,S&P 500,August,-2.399753160189122
1992-09-01,417.79998779296875,S&P 500,September,0.9105593857418715
1992-10-01,418.67999267578125,S&P 500,October,0.2106282691536565
1992-11-01,431.3500061035156,S&P 500,November,3.026180770368403
1992-12-01,435.7099914550781,S&P 500,December,1.0107766987062838
1993-01-01,438.7799987792969,S&P 500,January,0.7045987892006611
1993-02-01,443.3800048828125,S&P 500,February,1.0483627595407663
1993-03-01,451.6700134277344,S&P 500,March,1.8697299051888772
1993-04-01,440.19000244140625,S&P 500,April,-2.541681016015662
1993-05-01,450.19000244140625,S&P 500,May,2.271746278774489
1993-06-01,450.5299987792969,S&P 500,June,0.07552285391652092
1993-07-01,448.1300048828125,S&P 500,July,-0.532704570835929
1993-08-01,463.55999755859375,S&P 500,August,3.4431956145887233
