Title1,Textbox33
Visitation By State and by Park for Fiscal Year: 2019,This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in Fiscal Year 2019 and displays the percent change from the previous year.

State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alaska,Yukon-Charley Rivers NPRES,"1,157",-6.47%,"4,100",-44.73%,0,,"49,210",-44.72%,0,,0,,0,,0,,0,,"1,954",-45.81%,700,,0,-10.83%,Subtotal Alaska,"3,210,201",9.93%,"2,108,321",4.03%,"813,337",,"25,299,915",4.03%,"470,120",,"18,676",,"26,382",,"6,147",,0,,"64,580",-13.85%,"18,607",,"14,968",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
American Samoa,National Park of American Samoa,"55,866",40.51%,"9,310",40.51%,0,,"111,729",40.51%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal American Samoa,"55,866",40.51%,"9,310",40.51%,0,,"111,729",40.51%,0,,0,,0,,0,,0,,0,,0,,0,,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Arizona,Canyon de Chelly NM,"412,801",-16.71%,"237,669",-14.61%,"594,708",-20.86%,"2,852,038",-14.61%,"1,189,416",-20.86%,"16,081",-13.54%,"14,385",22.66%,0,,0,,804,298.02%,0,,0,,Subtotal Arizona,"12,422,285",-4.57%,"10,319,796",-3.31%,"4,467,859",7.20%,"123,837,659",-3.31%,"3,161,837",-4.28%,"672,832",-11.00%,"145,611",-1.32%,"195,012",,"157,894",,"422,185",-1.11%,0,,"490,718",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Arizona,Casa Grande Ruins NM,"62,095",-7.73%,"7,048",-7.72%,"2,160",0.00%,"84,579",-7.73%,216,0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"12,422,285",-4.57%,"10,319,796",-3.31%,"4,467,859",7.20%,"123,837,659",-3.31%,"3,161,837",-4.28%,"672,832",-11.00%,"145,611",-1.32%,"195,012",,"157,894",,"422,185",-1.11%,0,,"490,718",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Arizona,Chiricahua NM,"57,658",-9.73%,"26,840",-9.51%,"3,600",0.00%,"322,085",-9.51%,"1,200",0.00%,0,,0,,"6,597",-2.37%,"5,298",-24.54%,0,,0,-17.54%,"1,340",,Subtotal Arizona,"12,422,285",-4.57%,"10,319,796",-3.31%,"4,467,859",7.20%,"123,837,659",-3.31%,"3,161,837",-4.28%,"672,832",-11.00%,"145,611",-1.32%,"195,012",,"157,894",,"422,185",-1.11%,0,,"490,718",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Arizona,Coronado NMEM,"110,947",3.71%,"11,117",9.94%,"2,508",0.00%,"133,408",9.94%,"1,248",0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"12,422,285",-4.57%,"10,319,796",-3.31%,"4,467,859",7.20%,"123,837,659",-3.31%,"3,161,837",-4.28%,"672,832",-11.00%,"145,611",-1.32%,"195,012",,"157,894",,"422,185",-1.11%,0,,"490,718",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Arizona,Fort Bowie NHS,"7,551",-11.75%,"1,258",-11.78%,0,,"15,102",-11.75%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"12,422,285",-4.57%,"10,319,796",-3.31%,"4,467,859",7.20%,"123,837,659",-3.31%,"3,161,837",-4.28%,"672,832",-11.00%,"145,611",-1.32%,"195,012",,"157,894",,"422,185",-1.11%,0,,"490,718",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Arizona,Glen Canyon NRA,"835,132",-13.98%,"407,833",-12.95%,"31,778",12.75%,"4,893,998",-12.95%,"381,354",12.76%,"59,150",-6.12%,"67,092",-19.28%,"12,517",4.25%,"3,679",-22.86%,0,,0,-13.55%,"452,665",,Subtotal Arizona,"12,422,285",-4.57%,"10,319,796",-3.31%,"4,467,859",7.20%,"123,837,659",-3.31%,"3,161,837",-4.28%,"672,832",-11.00%,"145,611",-1.32%,"195,012",,"157,894",,"422,185",-1.11%,0,,"490,718",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Arizona,Grand Canyon NP,"6,083,555",-2.89%,"7,980,121",-2.89%,"21,084",-13.16%,"95,761,456",-2.89%,"21,084",-13.16%,"595,064",-11.49%,"46,722",25.26%,"121,305",-14.54%,"64,085",-7.24%,"329,182",-2.38%,0,-12.21%,"25,308",,Subtotal Arizona,"12,422,285",-4.57%,"10,319,796",-3.31%,"4,467,859",7.20%,"123,837,659",-3.31%,"3,161,837",-4.28%,"672,832",-11.00%,"145,611",-1.32%,"195,012",,"157,894",,"422,185",-1.11%,0,,"490,718",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Arizona,Hubbell Trading Post NHS,"42,742",5.83%,"1,840",5.87%,"4,584",0.00%,"22,083",5.85%,"1,056",0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"12,422,285",-4.57%,"10,319,796",-3.31%,"4,467,859",7.20%,"123,837,659",-3.31%,"3,161,837",-4.28%,"672,832",-11.00%,"145,611",-1.32%,"195,012",,"157,894",,"422,185",-1.11%,0,,"490,718",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
