Title1,Textbox33
Visitation By State and by Park for Fiscal Year: 2017,This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in Fiscal Year 2017.  This was the first year of available data for this report so the percent change from the previous year column is not displayed.

State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alaska,Yukon-Charley Rivers NPRES,956,-15.70%,"4,343",-30.77%,0,,"52,120",-30.76%,0,,0,,0,,0,,0,,"2,092",-31.23%,265,,0,-37.65%,Subtotal Alaska,"2,788,738",1.87%,"2,034,624",0.73%,"818,519",,"24,415,560",0.73%,"494,165",,"16,568",,"27,248",,"6,824",,0,,"81,647",-12.17%,"22,915",,"13,267",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
American Samoa,National Park of American Samoa,"56,180",208.24%,"9,363",208.30%,0,,"112,360",208.25%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal American Samoa,"56,180",208.24%,"9,363",208.30%,0,,"112,360",208.25%,0,,0,,0,,0,,0,,0,,0,,0,,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Arizona,Canyon de Chelly NM,"821,653",19.46%,"441,077",19.08%,"1,205,478",28.77%,"5,292,934",19.09%,"2,410,959",28.77%,"19,423",16.53%,"10,119",9.25%,0,,0,,709,25.93%,0,,0,,Subtotal Arizona,"13,229,865",41.71%,"10,737,740",30.11%,"4,895,016",19.99%,"128,853,001",30.11%,"4,275,739",23.96%,"730,604",34.80%,"146,232",16.17%,"216,301",,"158,447",,"406,920",17.19%,0,,"517,037",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Arizona,Casa Grande Ruins NM,"77,520",33.82%,"8,799",33.83%,"2,160",33.33%,"105,592",33.82%,216,33.33%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"13,229,865",41.71%,"10,737,740",30.11%,"4,895,016",19.99%,"128,853,001",30.11%,"4,275,739",23.96%,"730,604",34.80%,"146,232",16.17%,"216,301",,"158,447",,"406,920",17.19%,0,,"517,037",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Arizona,Chiricahua NM,"61,541",61.04%,"28,331",58.47%,"3,600",33.33%,"339,982",58.47%,"1,200",33.33%,0,,0,,"6,970",61.31%,"6,506",59.27%,0,,0,31.32%,"1,002",,Subtotal Arizona,"13,229,865",41.71%,"10,737,740",30.11%,"4,895,016",19.99%,"128,853,001",30.11%,"4,275,739",23.96%,"730,604",34.80%,"146,232",16.17%,"216,301",,"158,447",,"406,920",17.19%,0,,"517,037",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Arizona,Coronado NMEM,"134,419",30.58%,"11,745",27.32%,"2,508",33.33%,"140,943",27.31%,"1,248",33.33%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"13,229,865",41.71%,"10,737,740",30.11%,"4,895,016",19.99%,"128,853,001",30.11%,"4,275,739",23.96%,"730,604",34.80%,"146,232",16.17%,"216,301",,"158,447",,"406,920",17.19%,0,,"517,037",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Arizona,Fort Bowie NHS,"8,280",35.38%,"1,380",35.43%,0,,"16,560",35.38%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"13,229,865",41.71%,"10,737,740",30.11%,"4,895,016",19.99%,"128,853,001",30.11%,"4,275,739",23.96%,"730,604",34.80%,"146,232",16.17%,"216,301",,"158,447",,"406,920",17.19%,0,,"517,037",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Arizona,Glen Canyon NRA,"1,083,505",402.59%,"488,651",72.37%,"27,734",15.84%,"5,863,818",72.37%,"332,795",15.83%,"62,000",15.68%,"87,123",9.10%,"8,579",75.44%,"7,014",2.56%,0,,0,-33.89%,"467,669",,Subtotal Arizona,"13,229,865",41.71%,"10,737,740",30.11%,"4,895,016",19.99%,"128,853,001",30.11%,"4,275,739",23.96%,"730,604",34.80%,"146,232",16.17%,"216,301",,"158,447",,"406,920",17.19%,0,,"517,037",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Arizona,Grand Canyon NP,"6,184,849",28.26%,"8,130,444",27.97%,"27,169",-49.74%,"97,565,336",27.97%,"27,169",-49.74%,"647,245",37.86%,"31,284",72.14%,"152,654",-13.98%,"73,047",-2.62%,"313,338",16.41%,0,-15.86%,"30,284",,Subtotal Arizona,"13,229,865",41.71%,"10,737,740",30.11%,"4,895,016",19.99%,"128,853,001",30.11%,"4,275,739",23.96%,"730,604",34.80%,"146,232",16.17%,"216,301",,"158,447",,"406,920",17.19%,0,,"517,037",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Arizona,Hubbell Trading Post NHS,"51,378",-6.34%,"2,212",-6.31%,"4,584",33.33%,"26,546",-6.33%,"1,056",33.33%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"13,229,865",41.71%,"10,737,740",30.11%,"4,895,016",19.99%,"128,853,001",30.11%,"4,275,739",23.96%,"730,604",34.80%,"146,232",16.17%,"216,301",,"158,447",,"406,920",17.19%,0,,"517,037",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
